Nom,URL,Image,Nom Commercial,Code DCI,Forme,Dosage,Conditionnement,Type,Liste,Pays,Tarif de référence,PPA
,https://www.pharmnet-dz.com//medic.aspx?id=4634,,BACLON,21E025,COMP. SEC.,Cliquez ici,B/50,Prod locale : Oui,ACTEMRA   20MG/ML/FLACON  CONCENTRE POUR SOLUTION A DILUER POUR PERFUSION IV  BOITE DE 1 FLACON DE  20ml( 400 mg/20ml),ALGERIE,437 DA,437 DA
,https://www.pharmnet-dz.com//medic.aspx?id=1423,,BACRO,21E025,COMP.,Cliquez ici,B/50,Prod locale : Oui,ACTEMRA   20MG/ML/FLACON  CONCENTRE POUR SOLUTION A DILUER POUR PERFUSION IV  BOITE DE 1 FLACON DE  20ml( 400 mg/20ml),ITALIE,438 DA,N/A
,https://www.pharmnet-dz.com//medic.aspx?id=4487,,BACTISOL,13M090,SUSP. BUV.,Cliquez ici,BOITE DE 01 FLACON DE 100ML + CM DE 5ML,Prod locale : Oui,AMODEX-Gé 250MG/5ML PDRE. P. SUSP. BUV. FL/60ML,ALGERIE,145 DA,N/A
,https://www.pharmnet-dz.com//medic.aspx?id=1905,,BACTIZOL,13B013,PDRE. INJ.,Cliquez ici,"B/1FL. PDRE. + 1AMP.SOLV. (0,5% LIDOCAINE) DE 4ML",Prod locale : Oui,AMODEX-Gé 250MG/5ML PDRE. P. SUSP. BUV. FL/60ML,ALGERIE,129 DA,N/A
,https://www.pharmnet-dz.com//medic.aspx?id=1900,,BACTIZOL,13B012,PDRE. INJ.,Cliquez ici,B/25FL.DE PDRE.,Prod locale : Oui,AMODEX-Gé 250MG/5ML PDRE. P. SUSP. BUV. FL/60ML,ALGERIE,129 DA,N/A
,https://www.pharmnet-dz.com//medic.aspx?id=1683,,BACTROBAN,07C104,PDE. DERM.,Cliquez ici,T/15G,Prod locale : Oui,ADAFERIN GEL DERMIQUE 0.1%,ALGERIE,198 DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=1345,,BALSOFUMINE  SIMPLE,20E043,SOL. INHAL.,Cliquez ici,FL/84ML,Prod locale : Non,"CARBOMEX 0,05 SOL BUV FL/150ML +GOBLET DOSEUR DE 150 ML",FRANCE,0 DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=1347,,BALSOFUMINE MENTHOLEE,20E070,SOL. INHAL.,Cliquez ici,FL/84ML,Prod locale : Non,"CARBOMEX 0,05 SOL BUV FL/150ML +GOBLET DOSEUR DE 150 ML",FRANCE,0 DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=6114,,BALTAXINE,16A106,GLES.,Cliquez ici,PILULIER DE 30,Prod locale : Non,XEPLION 100MG/ML SUSP INJ LP B/01  SER PRE-REMP DE 0.75 ML(75 MG/0.75ML) ET 02 AIGUILLES,ALGERIE,195 DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=1686,,BANEOCIN,07C134,PDE. DERM.,Cliquez ici,T/20G,Prod locale : Oui,ADAFERIN GEL DERMIQUE 0.1%,ALGERIE,0 DA,N/A
,https://www.pharmnet-dz.com//medic.aspx?id=1687,,BANEOCIN,07C135,PDRE. DERM.,Cliquez ici,FL/10G,Prod locale : Oui,ADAFERIN GEL DERMIQUE 0.1%,AUTRICHE,160.26 DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=3524,,BARACLUDE,13P313,COMP.,Cliquez ici,B/30,Prod locale : Oui,AMODEX-Gé 250MG/5ML PDRE. P. SUSP. BUV. FL/60ML,ETATS UNIS D'AMERIQUE,0 DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=3525,,BARACLUDE,13P314,COMP.,Cliquez ici,B/30,Prod locale : Oui,AMODEX-Gé 250MG/5ML PDRE. P. SUSP. BUV. FL/60ML,ETATS UNIS D'AMERIQUE,0 DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=4677,,BASALOG ONE,14B215,SOL. INJ.,Cliquez ici,B/05 STYLOS PREREMPLIS SOLOSTAR DE 3ML,Prod locale : Oui,CALCIDOSE VITAMINE D 400UI/500MG/SACHET PDRE. ORALE  B/30 SACHETS,INDE,0 DA,5568.23 DA
,https://www.pharmnet-dz.com//medic.aspx?id=620,,BASDENE,09E112,COMP.,Cliquez ici,B/50,Prod locale : Non,CORTIPRED 20MG COMP. EFFERV. B/20,FRANCE,229 DA,N/A
,https://www.pharmnet-dz.com//medic.aspx?id=1809,,BC FER,12E151,GLES.,Cliquez ici,B/30,Prod locale : Oui,ADCETRIS 50 MG / ML  POUDRE POUR SOLUTION A DILUER POUR PERFUSION  B/01 FLACON,ALGERIE,230.1 DA,N/A
,https://www.pharmnet-dz.com//medic.aspx?id=4622,,B-CORTOSONE,09H020,SUSP. BUV. GTTES.,Cliquez ici,B/30ML,Prod locale : Non,CORTIPRED 20MG COMP. EFFERV. B/20,ALGERIE,0 DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=2112,,BECLATE - NASAL,20A072,AERO.,Cliquez ici,FL./120DOSES,Prod locale : Non,"CARBOMEX 0,05 SOL BUV FL/150ML +GOBLET DOSEUR DE 150 ML",INDE,692 DA,N/A
,https://www.pharmnet-dz.com//medic.aspx?id=2059,,BECLATE,20A003,AERO.,Cliquez ici,FL/200DOSES,Prod locale : Non,"CARBOMEX 0,05 SOL BUV FL/150ML +GOBLET DOSEUR DE 150 ML",INDE,408 DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=2060,,BECLOJET,20A003,AERO.,Cliquez ici,FL/200DOSES,Prod locale : Non,"CARBOMEX 0,05 SOL BUV FL/150ML +GOBLET DOSEUR DE 150 ML",FRANCE,408 DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=2062,,BECONASE,20A004,SUSP.NAS.,Cliquez ici,FL/100DOSES,Prod locale : Non,"CARBOMEX 0,05 SOL BUV FL/150ML +GOBLET DOSEUR DE 150 ML",FRANCE,346 DA,N/A
,https://www.pharmnet-dz.com//medic.aspx?id=3903,,BEDELIX,10B088,PDRE. ORAL. RECT.,Cliquez ici,B/30 SACHETS,Prod locale : Oui,DIARFAN 10 mg Racécadotril PDRE.SOL.BUV 16 Sachets,FRANCE,387 DA,387.24 DA
,https://www.pharmnet-dz.com//medic.aspx?id=4418,,BEKERDIS,06E264,COMP.,Cliquez ici,B/30 ET B/90,Prod locale : Oui,AMLIBON 10MG COMP. B/30 ET B/90,ALGERIE,1290 DA,1290.00 DA
,https://www.pharmnet-dz.com//medic.aspx?id=3176,,BEKTAL,06E240,COMP. PELLI.,Cliquez ici,B/30,Prod locale : Oui,AMLIBON 10MG COMP. B/30 ET B/90,ALGERIE,1290 DA,1290 DA
,https://www.pharmnet-dz.com//medic.aspx?id=163,,BEKTAL,06E126,COMP. PELLI.,Cliquez ici,B/30,Prod locale : Oui,AMLIBON 10MG COMP. B/30 ET B/90,ALGERIE,1204 DA,1290 DA
,https://www.pharmnet-dz.com//medic.aspx?id=2041,,BENDAZOLE,19B006,COMP. A CROQ.,Cliquez ici,B/6,Prod locale : Non,ABAVIR  300 MG CP PELL B/1  PILULIER DE 60,JORDANIE,0 DA,N/A
,https://www.pharmnet-dz.com//medic.aspx?id=260,,BENZATHINE BENZYLPENICILLINE BIOCARE,13G061,PDRE. SOL. INJ.,Cliquez ici,B/01FL. DE PDRE. + 01AMP. DE 5ML DE SOLV.(EPPI) ET B/50FL. DE PDRE.,Prod locale : Oui,AMODEX-Gé 250MG/5ML PDRE. P. SUSP. BUV. FL/60ML,ALGERIE,0 DA,N/A
,https://www.pharmnet-dz.com//medic.aspx?id=1646,,BEPANTHENE,07B008,COMP.,Cliquez ici,B/20,Prod locale : Oui,ADAFERIN GEL DERMIQUE 0.1%,FRANCE,N/A,N/A
,https://www.pharmnet-dz.com//medic.aspx?id=1645,,BEPANTHENE,07B007,SOL. INJ.,Cliquez ici,B/06AMP. DE 2ML,Prod locale : Oui,ADAFERIN GEL DERMIQUE 0.1%,FRANCE,0 DA,DA
